"seller_id","seller_city","seller_state","total_products_sold","total_sales","avg_review_score"
"c3acdfac4e3e97ff87529454fbc03642","sao paulo","SP","12","16788","4.2500000000000000"
"abe42c5d03695b4257b5c6cbf4e6784e","rio de janeiro","RJ","49","16720","3.9183673469387755"
"86ccac0b835037332a596a33b6949ee1","blumenau","SC","211","16644.70999999998","4.0047393364928910"
"ef0ace09169ac090589d85746e3e036f","sao goncalo","RJ","141","16343.199999999983","4.3404255319148936"
"8ae520247981aa06bc94abddf5f46d34","navegantes","SC","65","16320.99","4.4461538461538462"
"7aa4334be125fcdd2ba64b3180029f14","laranjal paulista","SP","238","16108.040000000006","4.0546218487394958"
"1f1bb1f0859883505541bdd6606193e5","sao paulo","SP","29","16040.839999999997","4.3103448275862069"
"fa40cc5b934574b62717c68f3d678b6d","sao paulo","SP","339","16005.369999999954","4.4306784660766962"
"4b9750c8ad28220fe6702d4ecb7c898f","limeira","SP","222","15915.29999999997","4.3513513513513514"
"6061155addc1e54b4cfb51c1c2a32ad8","campinas","SP","35","15909.399999999998","4.7142857142857143"
"0adac9fbd9a2b63cccaac4f8756c1ca8","louveira","SP","142","15848.949999999986","3.8873239436619718"
"2a84855fd20af891be03bc5924d2b453","belo horizonte","MG","167","15741.199999999983","4.2335329341317365"
"f9244d45189d3a3605499abddeade7d5","sao paulo","SP","21","15731.429999999997","4.2857142857142857"
"d921b68bf747894be13a97ae52b0f386","formiga","MG","77","15645.8","4.5584415584415584"
"229c3efbfb0ea2058de4ccdfbc3d784a","belo horizonte","MG","146","15610","3.6438356164383562"
"c33847515fa6305ce6feb1e818569f13","brusque","SC","128","15519.85","3.7187500000000000"
"85d9eb9ddc5d00ca9336a2219c97bb13","belo horizonte","MG","522","15426.239999999932","4.1724137931034483"
"213b25e6f54661939f11710a6fddb871","salto","SP","192","15386.849999999991","3.7916666666666667"
"ce248b21cb2adc36282ede306b7660e5","jaragua do sul","SC","67","15309.96","4.2089552238805970"
"79ebd9a61bac3eaf882805ed4ecfa12a","cascavel","PR","145","15297.589999999978","4.0068965517241379"
"e5a38146df062edaf55c38afa99e42dc","sao paulo","SP","126","15211.150000000001","3.9523809523809524"
"75d34ebb1bd0bd7dde40dd507b8169c3","salvador","BA","72","15048.279999999988","3.8194444444444444"
"e2a1ac9bf33e5549a2a4f834e70df2f8","sao paulo","SP","5","14999.45","4.8000000000000000"
"01fdefa7697d26ad920e9e0346d4bd1b","londrina","PR","130","14831.529999999982","4.3461538461538462"
"a5cba26a62b8b4d0145b68b841e62e7f","campo mourao","PR","55","14737.84","4.5272727272727273"
"8e6d7754bc7e0f22c96d255ebda59eba","sao jose dos campos","SP","133","14736.460000000006","3.0150375939849624"
"1b4c3a6f53068f0b6944d2d005c9fc89","sao ludgero","SC","117","14710.299999999988","4.1111111111111111"
"87b740daf17b5d1be335a64164ec6842","suzano","SP","13","14699.869999999999","3.3076923076923077"
"4c2b230173bb36f9b240f2b8ac11786e","sao paulo","SP","343","14454.56999999996","3.7609329446064140"
"cf8ab1616079e2793aa29d524df01bb1","sao paulo","SP","9","14391","2.0000000000000000"
"080199a181c46c657dc5aa235411be3b","osasco","SP","82","14324.709999999988","4.6097560975609756"
"5cf13accae3222c70a9cac40818ae839","patos de minas","MG","155","14288.299999999985","4.4387096774193548"
"66922902710d126a0e7d26b0e3805106","belo horizonte","MG","155","14282.3","4.4516129032258065"
"3b15288545f8928d3e65a8f949a28291","ibitinga","SP","123","14261.769999999982","3.8536585365853659"
"c6bda72e4dbf5c5866b13cb1810c6d03","sao paulo","SP","60","14169.279999999995","4.3833333333333333"
"c847e075301870dd144a116762eaff9a","uberaba","MG","42","14148.799999999994","4.1666666666666667"
"aba1721a889e04decc910aa13b768ef4","sao paulo","SP","92","14103.3","4.4565217391304348"
"f08a5b9dd6767129688d001acafc21e5","porto alegre","RS","18","14069.630000000001","3.4444444444444444"
"2e90cb1677d35cfe24eef47d441b7c87","sao paulo","SP","137","13894.709999999988","4.0364963503649635"
"6039e27294dc75811c0d8a39069f52c0","osasco","SP","76","13800.599999999991","3.8421052631578947"
"05f51e13da97139648b8125c31e5f51b","belo horizonte","MG","63","13769.009999999991","4.0952380952380952"
"a3e9a2c700480d9bb01fba070ba80a0e","ibitinga","SP","146","13695.8","4.0136986301369863"
"d94a40fd42351c259927028d163af842","baependi","MG","107","13634.8","4.1028037383177570"
"240b9776d844d37535668549a396af32","niteroi","RJ","36","13592.079999999996","4.2777777777777778"
"610f72e407cdd7caaa2f8167b0163fd8","sao paulo","SP","17","13585.16","3.7058823529411765"
"289cdb325fb7e7f891c38608bf9e0962","belo horizonte","SP","126","13544.949999999995","4.5793650793650794"
"440dd6ab244315c632130ecfb63827b1","votuporanga","SP","94","13526.899999999992","3.8510638297872340"
"a6bd7d1ccdac48c6b33b28596b7eb122","mamanguape","PB","15","13469.11","3.3333333333333333"
"1f9ab4708f3056ede07124aad39a2554","tupa","SP","78","13432.82999999999","4.0897435897435897"
"b8bc237ba3788b23da09c0f1f3a3288c","itajai","SC","46","13426.709999999995","4.3478260869565217"
"e8b3a3a38279a82f0e5d006d5e5b7d2c","jussara","PR","93","13354.599999999991","3.7419354838709677"
"00fc707aaaad2d31347cf883cd2dfe10","maringa","PR","141","13315.899999999998","3.7375886524822695"
"8cc6a0e5738e61a87b03c78b2ba9db4b","andradas","MG","26","13312.399999999998","4.1538461538461538"
"a673821011d0cec28146ea42f5ab767f","sao paulo","SP","141","13299.09999999998","3.8865248226950355"
"669ae81880e08f269a64487cfb287169","rio do sul","SC","187","13263.869999999997","4.1016042780748663"
"d05ae8f7a5bd1d2a690a44cd079e4e27","rio de janeiro","RJ","80","13257","3.7875000000000000"
"5d378b73ab7dd6f0418d743e5dcb0bd1","sao paulo","SP","7","13243","3.8571428571428571"
"0b35c634521043bf4b47e21547b99ab5","teixeira soares","PR","77","13235.649999999998","3.4935064935064935"
"ad97a199236354e53fcd91a5a913e9a2","brusque","SC","18","13205.900000000001","4.5000000000000000"
"1ca7077d890b907f89be8c954a02686a","santana de parnaiba","SP","136","13191.569999999994","2.1985294117647059"
"6edacfd9f9074789dad6d62ba7950b9c","guarulhos","SP","219","13187.09999999998","4.3607305936073059"
"99eaacc9e6046db1c82b163c5f84869f","franca","SP","70","13139.169999999998","3.9000000000000000"
"9e6229250fedbe05838fef417b74e7fb","mirandopolis","SP","78","13132.199999999992","3.8974358974358974"
"6d66611d7c44cc30ce351abc49a68421","sao paulo","SP","174","13113.59999999998","3.9137931034482759"
"c31eff8334d6b3047ed34bebd4d62c36","salto","SP","122","13072.499999999985","3.8524590163934426"
"cfb1a033743668a192316f3c6d1d2671","votorantim","SP","188","13049.14","3.9308510638297872"
"431af27f296bc6519d890aa5a05fdb11","ribeirao preto","SP","125","13029.499999999989","3.7840000000000000"
"530ec6109d11eaaf87999465c6afee01","cascavel","PR","104","12983.80999999999","4.2211538461538462"
"e24fc9fcd865784fb25705606fe3dfe7","braganca paulista","SP","56","12936","4.1964285714285714"
"039e6ad9dae79614493083e241147386","sao paulo","SP","5","12925","4.0000000000000000"
"c60b801f2d52c7f7f91de00870882a75","guarulhos","SP","41","12913.5","3.3170731707317073"
"d50d79cb34e38265a8649c383dcffd48","sao paulo","SP","69","12892.42999999999","4.2463768115942029"
"34d1ca11b242c0fee2c834ae8d788566","congonhas","MG","40","12841.970000000001","4.3000000000000000"
"ed4acab38528488b65a9a9c603ff024a","sao paulo","SP","40","12759.449999999997","3.7250000000000000"
"2b1a40c1daabc6ca280c4b815c101841","divinopolis","MG","35","12732.599999999999","3.6285714285714286"
"c66dccfb3f109511246da627dd5a2498","registro","SP","45","12708.55","4.4888888888888889"
"b372ee768ed69e46ca8cdbd267aa7a38","sao jose do rio preto","SP","70","12665","4.4000000000000000"
"7202e2ba20579a9bd1acb29e61fe71f6","franca","SP","54","12560.599999999995","3.8333333333333333"
"ac3508719a1d8f5b7614b798f70af136","canoas","RS","102","12486.139999999996","4.5686274509803922"
"2e1c9f22be269ef4643f826c9e650a52","sao paulo","SP","171","12482.199999999975","4.1637426900584795"
"66e0557ecc2b4dbea057e93f215f68d8","sao paulo","SP","31","12480","3.9354838709677419"
"2138ccb85b11a4ec1e37afbd1c8eda1f","sao paulo","SP","429","12356.029999999944","3.8997668997668998"
"a7f13822ceb966b076af67121f87b063","itaquaquecetuba","SP","85","12300.670000000002","3.4352941176470588"
"48436dade18ac8b2bce089ec2a041202","volta redonda","SP","151","12271.709999999988","4.0463576158940397"
"c510bc1718f0f2961eaa42a23330681a","indaiatuba","SP","13","12251","4.0000000000000000"
"056b4ada5bbc2c50cc7842547dda6b51","queimados","RJ","65","12203.399999999992","4.1230769230769231"
"70c27847eca8195c983ed7e798c56743","rio de janeiro","RJ","98","12077.51999999999","4.2040816326530612"
"d6b1ce66b035a475f00c017792ff9769","salto","SP","103","12067.599999999995","4.1650485436893204"
"e26901d5ab434ce92fd9b5c256820a4e","maua","SP","221","11990.899999999983","4.0588235294117647"
"ff063b022a9a0aab91bad2c9088760b7","santo andre","SP","95","11977.5","4.2842105263157895"
"c4f7fee5b0db50e87766f5a4d1b1b758","sorocaba","SP","9","11961.829999999998","2.6666666666666667"
"c8b0e2b0a7095e5d8219575d5e7e1181","itaquaquecetuba","SP","84","11940.21999999999","4.0476190476190476"
"6e386f64c84e482f0b9abf960797ee1b","sao paulo","SP","28","11921.599999999999","4.6071428571428571"
"8b8cfc8305aa441e4239358c9f6f2485","londrina","PR","15","11892","4.2000000000000000"
"701938c450705b8ae65fc923b70f35c7","s jose do rio preto","SP","111","11879.309999999998","3.7657657657657658"
"7901646fdd36a55f564ffaf2dbccaaf7","rio de janeiro","RJ","27","11857.080000000002","4.4444444444444444"
"09f952a5f58d2285b0372551ae8f9b01","sao bernardo do campo","SP","56","11821.499999999998","3.8750000000000000"
"adbc26658d6c7b4b6219f9d934598091","curitiba","PR","92","11806.4","4.0543478260869565"
"0be8ff43f22e456b4e0371b2245e4d01","sao paulo","SP","180","11805.499999999989","3.8944444444444444"
"72c5da29406b4234927b81855e7b64f6","guarulhos","SP","31","11798.689999999995","4.1290322580645161"
"128639473a139ac0f3e5f5ade55873a5","maringa","PR","554","11798.449999999964","4.1768953068592058"
"ce7d1888639e6fb06b2749cbfdac1ff7","baependi","MG","84","11793.89","4.1071428571428571"
"d1b65fc7debc3361ea86b5f14c68d2e2","mogi guacu","SP","41","11703.069999999996","4.5609756097560976"
"bba3293d6f5d5af2f415e004e8b93ae3","sao paulo","SP","17","11702.1","4.2941176470588235"
"25e6ffe976bd75618accfe16cefcbd0d","sao paulo","SP","117","11691.609999999997","4.3846153846153846"
"23d7c96d4a1160db1c726b248601b25a","capivari","SP","53","11658.14","3.8113207547169811"
"fbc14c0cf93505ef89f64665ffa4a7b5","serrana","SP","17","11649.829999999998","4.1764705882352941"
"82e0a475a88cc9595229d8029273f045","sao paulo","SP","85","11528.619999999999","3.3176470588235294"
"c4d51195486dc781531876a7d00453d8","presidente prudente","SP","17","11468.98","3.9411764705882353"
"cab85505710c7cb9b720bceb52b01cee","sao paulo","SP","210","11433.999999999987","4.2857142857142857"
"b4f8921fcc4ff77b66bea6dda43dcd51","caxias do sul","RS","20","11395.05","4.6000000000000000"
"80e6699fe29150b372a0c8a1ebf7dcc8","pinhais","PR","99","11339.059999999998","4.2929292929292929"
"6cd68b3ed6d59aaa9fece558ad360c0a","belo horizonte","MG","157","11188.569999999992","4.4458598726114650"
"5a8e7d5003a1f221f9e1d6e411de7c23","campinas","SP","180","11101.99999999999","4.1722222222222222"
"6973a06f484aacf400ece213dbf3d946","sao jose dos campos","SP","116","11101.939999999995","3.5258620689655172"
"1d8dbc4f32378d715c717c1c1fc57bae","arapongas","PR","96","11096.089999999997","3.8958333333333333"
"ccb83a794700270fde70898fe9ff368b","sombrio","SC","12","11062","4.3333333333333333"
"8d956fec2e4337affcb520f56fd8cbfd","sao bernardo do campo","SP","229","11052.119999999974","4.1921397379912664"
"95e03ca3d4146e4011985981aeb959b9","rio de janeiro","RJ","193","11009.959999999992","3.9948186528497409"
"813348c996469b40f2e028d5429d3495","jundiai","SP","198","10967.229999999992","4.0000000000000000"
"7ea5bfa6c340f58f8e71fc1f0412b0d6","belo horizonte","MG","103","10877.89999999999","4.0776699029126214"
